,alignscore,clipscore,fuyu_dsg,fuyu_tifa,instruct_blip_dsg,instruct_blip_tifa,llava-alt_dsg,llava-alt_tifa,llava_dsg,llava_tifa,mplug_dsg,mplug_tifa,blip1_dsg,blip1_tifa,gpt4v_tifa,gpt4v_dsg,viescore,llmscore_over,llmscore_ec
0,0.9382716049382717,0.9506172839506173,0.7283950617283951,0.3950617283950617,0.7901234567901234,0.7283950617283951,0.7901234567901234,0.691358024691358,0.9012345679012346,0.7530864197530865,0.7901234567901234,0.8148148148148147,0.8888888888888888,0.9012345679012346,1.0,0.9012345679012346,0.6049382716049383,0.7283950617283951,0.5679012345679012
1,0.8,1.0,0.6,0.5000000000000001,1.0,1.0,0.7999999999999999,1.0,1.0,1.0,0.8,0.9000000000000001,0.7999999999999999,0.7999999999999999,1.0,1.0,0.5000000000000001,0.7000000000000001,0.6
2,1.0,1.0,0.8377777777777778,0.8333333333333334,1.0,1.0,0.9666666666666667,0.8000000000000002,1.0,0.8000000000000002,0.6666666666666665,0.9666666666666667,1.0,1.0,1.0,1.0,0.8444444444444446,0.9666666666666667,0.6666666666666665
3,0.7000000000000001,0.9000000000000001,0.0,0.5,0.7000000000000001,0.7000000000000001,0.5,0.5,0.7000000000000001,0.5,0.5,0.7000000000000001,0.5,0.6,0.5,0.7000000000000001,0.4,0.6,0.4
4,0.6841269841269841,0.5515873015873015,0.7015873015873015,0.5793650793650793,0.23809523809523808,0.5174603174603175,0.5095238095238095,0.6047619047619048,0.6626984126984128,0.6841269841269841,0.35158730158730156,0.5396825396825398,0.5174603174603175,0.30793650793650795,0.6357142857142857,0.44206349206349205,0.2857142857142857,0.35873015873015873,0.846031746031746
5,0.9162004662004662,0.967016317016317,0.6434149184149185,0.6648018648018648,0.8324009324009324,0.816083916083916,0.7745920745920746,0.7634615384615384,0.7517482517482518,0.7840909090909091,0.7582750582750583,0.8284382284382285,0.8153846153846154,0.8193473193473194,0.7045454545454546,0.7925407925407926,0.6287296037296037,0.7463869463869464,0.7054195804195804
6,0.9692982456140351,0.9736842105263158,0.5555555555555555,0.9078947368421053,0.39181286549707606,0.732456140350877,0.44444444444444436,0.8801169590643274,0.47953216374269,0.9517543859649122,0.543859649122807,0.8918128654970761,0.38888888888888884,0.8654970760233919,0.7719298245614034,0.5029239766081871,0.5,0.49999999999999994,0.5964912280701755
7,0.8928104575163398,0.8562091503267973,0.5542483660130718,0.7790849673202613,0.6431372549019607,0.7738562091503267,0.726797385620915,0.8026143790849674,0.8052287581699347,0.7520697167755991,0.725054466230937,0.7150326797385621,0.5812636165577342,0.632244008714597,0.7738562091503268,0.8117647058823529,0.326797385620915,0.6758169934640522,0.6601307189542484
8,0.931116131191432,0.8445030120481924,0.6941014056224897,0.6510709504685409,0.7591867469879515,0.8115043507362787,0.8633283132530118,0.8840110441767072,0.8771084337349401,0.8903196117804552,0.7032797858099059,0.7533383534136546,0.7945699464524766,0.7272590361445781,0.7485274431057569,0.7218122489959841,0.44587516733601085,0.7286060910307899,0.7863955823293172
9,0.8997836909871244,0.8853819742489266,0.7607356223175963,0.7450978540772539,0.7994609442060087,0.7304540772532194,0.7666025751072956,0.7623347639484973,0.8003974248927039,0.7398214592274683,0.8289974248927037,0.6973630901287553,0.7563562231759645,0.8094772532188848,0.6480746781115879,0.7992875536480687,0.47729184549356174,0.6554626609442065,0.5843390557939911
