id,num_walks,partition,blip1_dsg_spearman,blip1_dsg_ks_test,blip1_dsg_delta,fuyu_dsg_spearman,fuyu_dsg_ks_test,fuyu_dsg_delta,instruct_blip_dsg_spearman,instruct_blip_dsg_ks_test,instruct_blip_dsg_delta,llava-alt_dsg_spearman,llava-alt_dsg_ks_test,llava-alt_dsg_delta,llava_dsg_spearman,llava_dsg_ks_test,llava_dsg_delta,mplug_dsg_spearman,mplug_dsg_ks_test,mplug_dsg_delta,blip1_tifa_spearman,blip1_tifa_ks_test,blip1_tifa_delta,fuyu_tifa_spearman,fuyu_tifa_ks_test,fuyu_tifa_delta,instruct_blip_tifa_spearman,instruct_blip_tifa_ks_test,instruct_blip_tifa_delta,llava-alt_tifa_spearman,llava-alt_tifa_ks_test,llava-alt_tifa_delta,llava_tifa_spearman,llava_tifa_ks_test,llava_tifa_delta,mplug_tifa_spearman,mplug_tifa_ks_test,mplug_tifa_delta,alignscore_spearman,alignscore_ks_test,alignscore_delta,blipscore_spearman,blipscore_ks_test,blipscore_delta,clipscore_spearman,clipscore_ks_test,clipscore_delta,gpt4v_tifa_spearman,gpt4v_tifa_ks_test,gpt4v_tifa_delta,gpt4v_dsg_spearman,gpt4v_dsg_ks_test,gpt4v_dsg_delta
0,2,synth,0.860597170236939,0.8666666666666666,0.4,0.6109643262736935,0.6799999999999999,0.27999999999999997,0.8642964232777887,0.7333333333333333,0.31999999999999995,0.8060167740866853,0.7333333333333332,0.31999999999999995,0.869883187720083,0.8666666666666666,0.4000000000000001,0.7116633746911063,0.7333333333333332,0.27999999999999997,0.8815895602402171,0.8666666666666666,0.3333333334,0.020527430471212443,0.3866666666666666,-0.033333333399999956,0.7938937484183833,0.6666666666666667,0.26666666640000003,0.6949358232072103,0.6266666666666667,0.1999999998,0.8544240499812505,0.6933333333333334,0.26666666660000005,0.9091243206311914,0.76,0.2333333332,0.8243090394317019,0.9333333333333332,0.22000000000000003,-0.5384654388044909,0.7466666666666666,-0.368,0.8820136857796426,0.9333333333333332,0.15,1.0,1.0,0.1999999998,0.9111289635628776,0.8666666666666666,0.44000000000000006
1,2,synth,0.723606797749979,0.8,0.525,-0.4478041718201263,0.6,-0.42500000000000004,1.0,1.0,0.625,0.723606797749979,0.8,0.525,1.0,1.0,0.625,0.0,0.8,0.09999999999999998,0.6414213562373096,0.8,0.30000000000000004,-0.17386127875258314,0.5,-0.11999999999999997,0.7408517252140155,1.0,0.52,0.8478041718201262,1.0,0.36,1.0,1.0,0.5,0.6697811566101118,0.9,0.21999999999999997,0.46208056687442184,0.8,0.093,0.5237229365663817,0.9,0.529,0.6546536707079772,1.0,0.183,1.0,1.0,0.4,1.0,1.0,0.375
2,6,synth,1.0,1.0,0.6212121211818182,0.8474953146610906,0.890909090909091,0.5818181816727275,1.0,1.0,0.6212121211818182,0.930214043673754,0.9454545454545453,0.5969696969272728,0.985119246590888,1.0,0.5848484848545454,0.9001518268385028,0.8181818181818182,0.536363636618182,0.9241195126768972,1.0,0.49090909090909085,0.7579031231341067,0.9090909090909091,0.2840909090909091,0.9519237844057358,1.0,0.5454545454545454,0.8545165836126097,0.890909090909091,0.4818181818181817,0.7742686959925158,0.890909090909091,0.45681818181818185,0.9117905700601441,0.9818181818181819,0.43863636363636355,0.8821755396462696,1.0,0.44854545454545447,-0.8158291205341044,0.9454545454545457,-0.5701818181818181,0.8846296611244514,1.0,0.27545454545454545,0.9797664685951951,1.0,0.32954545454545453,0.9841883904310005,1.0,0.5575757575818182
3,2,synth,0.5,0.5,0.5,0.0,0.0,0.0,0.4292893218813452,0.7,0.35,0.5,0.5,0.5,0.658113883008419,0.7,0.55,0.5,0.5,0.5,0.39999999999999997,0.6,0.06666666629999995,0.06549291474155998,0.5,0.016666666399999988,0.341886116991581,0.7,0.01666666689999996,0.3872983346207417,0.5,0.3166666668,0.3535533905932738,0.5,0.2833333334,0.5059180548285452,0.7,0.2,0.3273268353539886,0.7,0.07999999999999996,-0.2618614682831909,0.7,-0.161,0.5237229365663817,0.9,0.16000000000000006,0.5,0.5,0.25,0.658113883008419,0.7,0.55
4,2,synth,0.7524086063011687,0.6199999999999999,0.21200000000000002,0.3444162076007723,0.64,-0.03199999999999999,0.35526315789473684,0.3,0.11999999999999997,0.3449857211514593,0.52,0.16999999999999998,0.48501007295765414,0.65,0.23800000000000004,0.34448046177040237,0.38,0.15399999999999997,0.5240790260788379,0.38,0.10800000000000005,-0.15106951175465663,0.55,-0.09599999999999997,0.6476608187134502,0.6199999999999999,0.17200000000000007,0.5646037412471339,0.6199999999999999,0.16799999999999993,0.6983136200975133,0.72,0.2879999999999999,-0.0014565917057711125,0.5,-0.026000000000000023,0.10960564805586052,0.72,0.01140000000000001,-0.16331889633279945,0.54,-0.04650000000000001,0.36370483963704886,0.6,0.03739999999999999,0.3646530966100455,0.61,0.17400000000000002,0.3896502352199354,0.47000000000000003,0.12600000000000003
5,6,synth,0.9004999352054217,0.788235294117647,0.3786764705882352,0.19836873250733944,0.6147058823529411,0.03308823529411765,0.7587445652529143,0.8147058823529412,0.3889705882352942,0.8804940654217641,0.7294117647058824,0.36029411764705876,0.87975114760864,0.7058823529411765,0.32499999999999996,0.8052627989019714,0.7176470588235294,0.32426470588235295,0.5578564842568955,0.7941176470588235,0.18235294117647058,0.4504592803495137,0.6294117647058824,0.09764705882352934,0.5674252200779959,0.8,0.2252941176470588,0.5842781662831392,0.7323529411764705,0.25176470588235295,0.683499227095889,0.7352941176470589,0.24705882352941172,0.5190342429286129,0.8235294117647058,0.20352941176470588,0.7190879547124965,0.8970588235294119,0.15155882352941175,0.6680670918907354,0.7058823529411765,0.23279411764705882,0.6919739204587857,0.9588235294117647,0.16305882352941176,0.6665230718977245,0.6617647058823529,0.17058823529411765,0.9277321715794493,0.7647058823529411,0.3786764705882353
6,6,synth,0.5659384592301778,0.4772727272727273,0.19090909090909092,0.6515929239778107,0.5757575757575757,0.25757575757575757,0.5206197391370903,0.45454545454545453,0.17272727272727273,0.6348083443997937,0.5454545454545454,0.21818181818181817,0.5440376297016214,0.5454545454545454,0.19393939393939394,0.4991706060820281,0.6363636363636364,0.19545454545454544,0.8063953077953651,0.8257575757575758,0.1827651515151515,0.8118108402913494,0.8484848484848484,0.34185606060606066,0.788524586689127,0.7045454545454546,0.14204545454545456,0.6651930764139774,0.8257575757575757,0.17708333333333331,0.9232079356316465,0.9166666666666665,0.24621212121212122,0.8132502088039251,0.8181818181818182,0.22537878787878787,0.871938656665641,0.9469696969696971,0.2073484848484848,-0.37349181955351685,0.8560606060606062,-0.18462121212121216,0.6235317179364559,0.9545454545454546,0.08250000000000002,0.9151783000712408,0.8181818181818182,0.14772727272727273,0.6485083568525536,0.5909090909090909,0.22727272727272727
7,9,synth,0.6213259266252943,0.6044444444444445,0.3413333333333333,-0.06987966829689625,0.5066666666666667,-0.016000000000000014,0.6388608470869171,0.6933333333333334,0.384,0.6940053700086419,0.7599999999999999,0.3893333333333333,0.8110994565027041,0.8133333333333334,0.45866666666666667,0.6720615511499357,0.7244444444444444,0.3875555555555556,0.6220718112660394,0.6177777777777779,0.19222222222222218,0.4368408903242797,0.6666666666666666,0.15444444444444447,0.7478184524610798,0.76,0.18,0.6816648964980971,0.8133333333333332,0.26555555555555554,0.6353718605362825,0.7422222222222223,0.23333333333333334,0.5374202778354445,0.68,0.21000000000000002,0.6182155936205804,0.8666666666666668,0.18631111111111118,-0.19451073954438183,0.7333333333333333,-0.14231111111111108,0.6484063274253054,0.8533333333333334,0.14551111111111106,0.6580167529020846,0.7066666666666667,0.19777777777777777,0.7137043708442512,0.7733333333333333,0.4391111111111111
8,96,synth,0.8384615292619008,0.7913654618473897,0.32999999999999985,0.4006153974993148,0.5883534136546184,0.18855421686746984,0.722321015599042,0.7983935742971886,0.2736144578313253,0.8985857826212661,0.845180722891566,0.384578313253012,0.8867112656629574,0.8662650602409637,0.4434939759036144,0.7065801110716752,0.7244979919678718,0.27783132530120475,0.8169217010530397,0.7963855421686746,0.30351405617710847,0.16451841169780573,0.5014056224899598,0.039257028091566226,0.8214249215278552,0.8337349397590362,0.29779116446626513,0.9011474088092734,0.8644578313253011,0.4029116465421685,0.9114829383406711,0.8676706827309235,0.3468875500487951,0.6968578728205943,0.7588353413654618,0.24578313251566272,0.7186876360930948,0.9170682730923694,0.16268674698795182,0.6695552627241877,0.7654618473895579,0.27169879518072276,0.7866585541574506,0.8554216867469878,0.11838554216867471,0.7915460838593738,0.809036144578313,0.3348393573614458,0.7873533436682802,0.7855421686746986,0.3428915662650603
9,300,synth,0.757785199979663,0.757258064516129,0.29544930875927417,0.6779975989647175,0.7399193548387093,0.3073156681548387,0.75079028468977,0.7798387096774192,0.32125576035564524,0.7858363249232475,0.8020161290322576,0.34769585251209695,0.7616476486641235,0.794354838709677,0.324135944659274,0.7333407025375281,0.7741935483870963,0.2580069124604839,0.7178222522648386,0.7826612903225804,0.20952620967741933,0.6819409955945812,0.7141129032258062,0.21930443548387094,0.65476963813587,0.692338709677419,0.22212701612903238,0.7887742999899848,0.7858870967741932,0.2217237903225806,0.7842301352707125,0.7334677419354839,0.22706653225806445,0.7388553717297033,0.694758064516129,0.18548387096774197,0.8594092451502119,0.8907258064516124,0.24643548387096761,-0.46313084981334085,0.7358870967741932,-0.2972741935483872,0.8619063687065089,0.8758064516129028,0.22930241935483875,0.6469344176933112,0.695564516129032,0.14808467741935474,0.7982111206667952,0.7842741935483868,0.32880184324435496
