id,image_id,blip1_dsg,fuyu_dsg,instruct_blip_dsg,llava-alt_dsg,llava_dsg,mplug_dsg,blip1_tifa,fuyu_tifa,instruct_blip_tifa,llava-alt_tifa,llava_tifa,mplug_tifa,alignscore,blipscore,clipscore
0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.84,-0.42,0.72
0,0,0.6,1.0,0.8,0.6,0.6,0.6,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.53,-0.33,0.55
0,0,0.8,0.6,0.8,0.6,0.6,0.6,0.8333333333333334,0.6666666666666666,0.5,0.5,0.6666666666666666,0.6666666666666666,0.58,-0.34,0.55
0,0,0.6,0.6,0.8,0.8,0.8,0.8,0.8333333333333334,0.6666666666666666,0.5,0.6666666666666666,0.5,0.6666666666666666,0.57,0.42,0.61
0,0,0.6,0.4,0.8,0.8,0.8,0.8,0.6666666666666666,0.5,0.5,0.6666666666666666,0.5,0.6666666666666666,0.54,0.28,0.58
0,0,0.6,1.0,0.8,0.8,0.8,0.8,0.8333333333333334,0.8333333333333334,0.5,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.63,0.79,0.54
0,0,0.8,0.6,1.0,0.4,0.4,0.4,0.6666666666666666,0.5,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.7,-0.74,0.73
0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.79,-0.26,0.68
0,0,0.8,0.6,1.0,0.6,0.6,0.6,0.5,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.75,-0.6,0.64
0,0,0.2,0.4,0.2,0.2,0.2,0.2,0.3333333333333333,0.5,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,-0.05,0.41
0,0,0.2,0.8,0.4,0.4,0.4,0.4,0.5,0.6666666666666666,0.5,0.5,0.3333333333333333,0.5,0.47,-0.28,0.5
0,0,0.6,0.4,0.8,0.4,0.4,0.4,0.5,0.5,0.5,0.6666666666666666,0.5,0.5,0.55,0.91,0.5
1,,1.0,0.0,1.0,1.0,1.0,1.0,0.8,0.4,1.0,1.0,1.0,1.0,0.61,0.8,0.75
1,1,1.0,0.75,0.5,0.5,0.5,0.5,0.8,0.4,0.6,0.6,0.4,0.8,0.58,0.5,0.63
1,2,0.5,1.0,0.5,0.5,0.5,0.5,0.4,1.0,0.4,0.4,0.4,0.8,0.55,0.83,0.64
1,3,0.5,1.0,0.5,0.5,0.5,0.5,0.4,1.0,0.4,0.8,0.4,1.0,0.56,0.05,0.54
1,4,1.0,0.25,0.5,0.5,0.5,0.5,1.0,0.6,0.6,0.8,0.4,0.8,0.57,0.76,0.65
1,5,0.5,1.0,0.5,0.5,0.5,0.5,0.4,0.6,0.6,0.8,0.4,0.8,0.62,0.08,0.59
1,6,0.25,0.25,0.25,0.25,0.25,0.25,0.4,0.4,0.6,0.6,0.6,0.8,0.34,-0.08,0.59
1,7,0.25,0.0,0.25,0.25,0.25,0.25,0.4,0.4,0.4,0.6,0.6,0.6,0.61,0.23,0.48
1,8,0.25,0.0,0.25,0.25,0.25,0.25,0.4,0.0,0.4,0.6,0.6,0.6,0.36,-0.25,0.58
1,9,0.25,0.0,0.25,0.25,0.25,0.25,0.4,0.4,0.4,0.6,0.6,0.8,0.48,0.1,0.54
1,10,0.25,0.0,0.25,0.25,0.25,0.25,0.4,0.4,0.4,0.6,0.6,0.8,0.5,0.49,0.43
2,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,0.875,1.0,0.78,-0.79,0.63
2,1,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.76,-0.98,0.68
2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.8,-0.63,0.71
2,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,0.73,-0.66,0.64
2,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.79,-0.55,0.65
2,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.79,-0.83,0.69
2,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.75,-0.81,0.69
2,7,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.875,1.0,0.76,-0.59,0.66
2,8,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.75,1.0,0.875,0.875,1.0,0.73,-0.81,0.67
2,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.79,-0.61,0.67
2,10,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.875,1.0,1.0,0.875,1.0,0.77,-0.69,0.69
2,11,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.875,0.5,0.5,0.375,0.25,0.75,0.42,0.01,0.39
2,12,0.3333333333333333,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.5,0.25,0.5,0.39,0.19,0.39
2,13,0.3333333333333333,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5,0.375,0.375,0.375,0.75,0.38,-0.38,0.44
2,14,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.75,0.5,0.5,0.5,0.375,0.5,0.4,-0.46,0.46
2,15,0.3333333333333333,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.75,0.5,0.5,0.375,0.5,0.5,0.45,-0.56,0.41
2,16,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.375,0.375,0.375,0.375,0.375,0.3,0.24,0.4
2,17,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.25,0.375,0.375,0.25,0.625,0.35,-0.42,0.43
2,18,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.625,0.375,0.375,0.5,0.5,0.5,0.33,-0.26,0.4
2,19,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.375,0.375,0.375,0.375,0.375,0.5,0.33,-0.31,0.39
2,20,0.3333333333333333,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.25,0.5,0.625,0.5,0.75,0.42,-0.41,0.44
2,21,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.25,0.5,0.25,0.375,0.375,0.375,0.1,0.11,0.25
3,,1.0,0.0,0.75,1.0,1.0,1.0,0.8333333333333334,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,0.48,-0.44,0.6
3,1,1.0,0.0,0.5,0.75,0.75,0.75,0.8333333333333334,0.5,0.6666666666666666,1.0,1.0,1.0,0.49,-0.46,0.54
3,2,1.0,0.0,1.0,0.75,0.75,0.75,0.8333333333333334,0.3333333333333333,1.0,1.0,1.0,0.8333333333333334,0.47,-0.21,0.57
3,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.37,-0.65,0.69
3,4,1.0,0.0,0.75,1.0,1.0,1.0,0.8333333333333334,0.3333333333333333,0.6666666666666666,1.0,1.0,0.8333333333333334,0.48,-0.03,0.51
3,5,1.0,0.0,0.75,1.0,1.0,1.0,0.8333333333333334,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,0.52,-0.38,0.55
3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.1666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.34,-0.04,0.27
3,7,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.5,0.3333333333333333,0.5,0.6666666666666666,0.3,-0.31,0.26
3,8,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.1666666666666666,0.5,0.5,0.5,0.5,0.43,-0.38,0.39
3,9,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.29,0.21,0.29
3,10,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.1666666666666666,0.5,0.3333333333333333,0.5,0.6666666666666666,0.31,-0.54,0.33
4,,1.0,0.2,1.0,1.0,1.0,1.0,0.8,0.6,0.8,1.0,1.0,0.8,0.6,-0.05,0.62
4,1,1.0,1.0,1.0,0.8,0.8,0.8,0.8,0.8,0.8,1.0,0.8,1.0,0.62,-0.07,0.59
4,2,1.0,1.0,1.0,0.6,0.6,0.6,0.8,0.8,0.8,0.8,1.0,0.8,0.59,-0.03,0.63
4,3,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.8,1.0,1.0,1.0,0.69,-0.29,0.62
4,4,1.0,1.0,1.0,0.6,0.6,0.6,0.8,0.6,0.8,0.8,0.8,1.0,0.6,0.26,0.62
4,5,1.0,0.2,0.6,0.6,0.6,0.6,0.6,0.8,0.6,0.8,0.8,1.0,0.62,0.15,0.54
4,6,0.6,0.2,0.6,0.6,0.6,0.6,0.6,1.0,0.6,1.0,0.8,1.0,0.61,0.03,0.65
4,7,0.6,1.0,1.0,0.6,0.6,0.6,0.6,1.0,0.8,0.8,0.8,1.0,0.67,0.23,0.62
4,8,0.8,0.2,0.6,0.6,0.6,0.6,0.8,0.8,0.6,0.8,0.6,0.6,0.66,-0.39,0.63
4,9,1.0,0.2,1.0,1.0,1.0,1.0,0.8,0.8,1.0,1.0,1.0,1.0,0.61,0.01,0.56
4,10,0.2,0.8,1.0,0.2,0.2,0.2,0.2,0.6,0.4,0.6,0.2,0.8,0.57,-0.08,0.52
4,11,0.8,0.2,1.0,0.6,0.6,0.6,0.8,0.8,0.4,0.6,0.4,0.8,0.46,0.32,0.54
4,12,0.8,0.2,1.0,0.8,0.8,0.8,0.8,0.4,0.4,0.6,0.4,0.6,0.54,0.26,0.52
4,13,0.8,1.0,1.0,0.8,0.8,0.8,0.8,0.6,0.4,0.6,0.4,1.0,0.54,-0.41,0.53
5,,1.0,0.25,1.0,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,0.69,0.97,0.65
5,1,1.0,0.25,1.0,0.75,0.75,0.75,1.0,0.6,1.0,1.0,1.0,0.8,0.72,0.88,0.7
5,2,1.0,0.25,1.0,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,0.74,0.76,0.71
5,3,1.0,0.25,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,0.8,0.67,0.83,0.78
5,4,1.0,0.25,1.0,0.75,0.75,0.75,1.0,0.4,1.0,1.0,1.0,1.0,0.63,0.47,0.76
5,5,0.5,0.0,0.75,0.5,0.5,0.5,0.4,0.0,0.2,0.4,0.4,0.4,0.31,0.69,0.29
5,6,0.5,0.0,0.5,0.5,0.5,0.5,0.4,0.2,0.4,0.4,0.4,0.4,0.48,0.94,0.44
5,7,0.5,0.0,0.75,0.5,0.5,0.5,0.4,0.2,0.4,0.2,0.4,0.4,0.47,0.95,0.41
5,8,0.5,0.0,0.75,0.5,0.5,0.5,0.4,0.2,0.2,0.2,0.4,0.2,0.44,0.69,0.44
5,9,0.5,0.0,0.75,0.5,0.5,0.5,0.4,0.2,0.4,0.4,0.4,0.4,0.43,0.69,0.46
