id,target_prompt,file_name,image_source,rank
0,A Christmas tree with lights and teddy bear,images/000-00.jpg,SD2.1,0
0,A Christmas tree with lights and teddy bear,images/000-01.jpg,SD2.0,1a
0,A Christmas tree with lights and teddy bear,images/000-02.jpg,SD2.0,1a
0,A Christmas tree with lights and teddy bear,images/000-03.jpg,SD2.0,1a
0,A Christmas tree with lights and teddy bear,images/000-04.jpg,SD2.0,1a
0,A Christmas tree with lights and teddy bear,images/000-05.jpg,SD2.0,1a
0,A Christmas tree with lights and teddy bear,images/000-06.jpg,SD2.0,1b
0,A Christmas tree with lights and teddy bear,images/000-07.jpg,SD2.0,1b
0,A Christmas tree with lights and teddy bear,images/000-08.jpg,SD2.0,1b
0,A Christmas tree with lights and teddy bear,images/000-09.jpg,SD2.0,2
0,A Christmas tree with lights and teddy bear,images/000-10.jpg,SD2.0,2
0,A Christmas tree with lights and teddy bear,images/000-11.jpg,SD2.0,2
1,A group of planes near a large wall of windows.,images/001-00.jpg,SD2.1,0
1,A group of planes near a large wall of windows.,images/001-01.jpg,SD2.0,1a
1,A group of planes near a large wall of windows.,images/001-02.jpg,SD2.0,1a
1,A group of planes near a large wall of windows.,images/001-03.jpg,SD2.0,1a
1,A group of planes near a large wall of windows.,images/001-04.jpg,SD2.0,1a
1,A group of planes near a large wall of windows.,images/001-05.jpg,SD2.0,1a
1,A group of planes near a large wall of windows.,images/001-06.jpg,SD2.0,1b
1,A group of planes near a large wall of windows.,images/001-07.jpg,SD2.0,1b
1,A group of planes near a large wall of windows.,images/001-08.jpg,SD2.0,1b
1,A group of planes near a large wall of windows.,images/001-09.jpg,SD2.0,1b
1,A group of planes near a large wall of windows.,images/001-10.jpg,SD2.0,1b
2,A brown bear walking across a forest surrounded by trees.,images/002-00.jpg,SD2.1,0a
2,A brown bear walking across a forest surrounded by trees.,images/002-01.jpg,SD2.0,0b
2,A brown bear walking across a forest surrounded by trees.,images/002-02.jpg,SD2.0,0b
2,A brown bear walking across a forest surrounded by trees.,images/002-03.jpg,SD2.0,0b
2,A brown bear walking across a forest surrounded by trees.,images/002-04.jpg,SD2.0,0b
2,A brown bear walking across a forest surrounded by trees.,images/002-05.jpg,SD2.0,0b
2,A brown bear walking across a forest surrounded by trees.,images/002-06.jpg,SD2.0,0c
2,A brown bear walking across a forest surrounded by trees.,images/002-07.jpg,SD2.0,0c
2,A brown bear walking across a forest surrounded by trees.,images/002-08.jpg,SD2.0,0c
