id,image_id,alignscore,blipscore,clipscore,fuyu_dsg,fuyu_tifa,instruct_blip_dsg,instruct_blip_tifa,llava-alt_dsg,llava-alt_tifa,llava_dsg,llava_tifa,mplug_dsg,mplug_tifa,rank
0,000.00.jpg,0.84,-0.42,0.72,1.0,0.5,1.0,0.8333333333333334,1.0,0.8333333333333334,1.0,0.8333333333333334,1.0,0.8333333333333334,0
0,000.01.jpg,0.53,-0.33,0.55,1.0,0.8333333333333334,0.8,0.6666666666666666,0.8,0.5,0.6,0.6666666666666666,0.8,0.6666666666666666,1
0,000.02.jpg,0.58,-0.34,0.55,0.6,0.6666666666666666,0.8,0.5,0.8,0.5,0.6,0.6666666666666666,0.8,0.6666666666666666,1
0,000.03.jpg,0.57,0.42,0.61,0.6,0.6666666666666666,0.8,0.5,0.8,0.6666666666666666,0.8,0.5,0.6,0.6666666666666666,1
0,000.04.jpg,0.54,0.28,0.58,0.4,0.5,0.8,0.5,0.8,0.6666666666666666,0.8,0.5,0.8,0.6666666666666666,1
0,000.05.jpg,0.63,0.79,0.54,1.0,0.8333333333333334,0.8,0.5,0.8,0.8333333333333334,0.8,0.8333333333333334,0.6,0.8333333333333334,1
0,000.06.jpg,0.7,-0.74,0.73,0.8,0.5,1.0,0.8333333333333334,0.8,0.6666666666666666,0.6,0.8333333333333334,0.8,0.8333333333333334,1
0,000.07.jpg,0.79,-0.26,0.68,1.0,0.5,1.0,0.8333333333333334,1.0,0.8333333333333334,1.0,0.8333333333333334,1.0,0.8333333333333334,1
0,000.08.jpg,0.75,-0.6,0.64,0.8,0.6666666666666666,1.0,0.8333333333333334,1.0,0.8333333333333334,0.8,0.8333333333333334,1.0,0.8333333333333334,1
0,000.09.jpg,0.4,-0.05,0.41,0.6,0.5,0.4,0.1666666666666666,0.4,0.3333333333333333,0.4,0.3333333333333333,0.4,0.3333333333333333,2
0,000.10.jpg,0.47,-0.28,0.5,0.8,0.6666666666666666,0.6,0.5,0.4,0.5,0.4,0.3333333333333333,0.4,0.5,2
0,000.11.jpg,0.55,0.91,0.5,0.4,0.5,0.8,0.5,0.8,0.6666666666666666,0.6,0.5,0.8,0.5,2
1,001.00.jpg,0.61,0.8,0.75,0.25,0.4,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0
